#;TITLE;ARTIST;RELEASE;BPM;ENERGY;DANCE;LOUD;VALENCE;LENGTH;ACOUSTIC;POP.
121;Here Comes The Night Time;Arcade Fire;1/1/2013;95;64;45;-8;66;6:31;4;45
122;The Look;Metronomy;8/4/2011;85;54;64;-8;51;4:38;62;63
123;Una Mattina;Ludovico Einaudi;1/1/2004;131;3;23;-32;7;3:24;99;62
124;Only Time - Original Version;Enya;1/12/2009;83;25;42;-14;22;3:39;84;59
125;Little Talks;Of Monsters and Men;1/1/2012;103;79;47;-5;40;4:27;3;73
126;Generation Sex;The Divine Comedy;31/8/1998;154;71;50;-7;52;3:31;26;32
127;Tragoudi Me Anastrofo Minima;Kore. Õdro.;29/4/2013;125;26;35;-13;16;5:08;76;1
128;O Dromos Mou Gia Sena;Kore. Õdro.;29/4/2013;143;33;34;-11;22;5:28;73;1
129;Pote Den Imoun Monos Telika;Kore. Õdro.;29/4/2013;126;66;45;-9;14;3:35;61;2
130;Outro;Your Hand In Mine;5/5/2008;82;33;28;-11;11;2:52;78;2
131;At The Bar, Pt. 1;Your Hand In Mine;5/5/2008;98;37;61;-8;44;5:29;82;7
132;Do the Living for Me;His Majesty the King of Spain;18/6/2012;97;62;60;-7;53;4:51;34;4
133;The Moon Song - Studio Version Duet;Karen O;11/2/2014;162;12;44;-14;15;3:06;92;15
134;King Park;La Dispute;2011;108;74;49;-7;16;6:55;4;37
135;Our Mutual Friend;The Divine Comedy;26/1/2004;120;48;54;-8;57;5:59;81;43
136;The Past Is A Grotesque Animal;of Montreal;23/1/2007;153;94;45;-5;39;11:53;10;38
137;Mnimes '85;Ta Pedia Tis Paleotitas;2/6/2014;139;53;35;-8;37;2:32;29;0
138;Musician, Please Take Heed;God Help The Girl;22/6/2009;148;49;33;-10;8;3:56;74;23
139;Weight;Mikal Cronin;7/5/2013;153;78;25;-5;19;3:50;1;41
140;The Masochism Tango;Tom Lehrer;1959;123;68;41;-10;62;3:35;91;0
141;Falling Slowly;Glen Hansard;14/8/2007;137;21;34;-12;14;4:04;68;10
142;Leaves In The River;Sea Wolf;2007;136;35;59;-15;49;5:00;86;0
143;Love Story;Monsieur Minimal;4/11/2008;150;73;62;-7;59;3:33;17;33
144;Going To A Town;Rufus Wainwright;1/1/2013;124;47;55;-7;18;4:07;67;44
145;Commuter Love;The Divine Comedy;31/8/1998;88;34;38;-9;17;4:42;27;18
146;Queen;Perfume Genius;22/9/2014;132;55;42;-5;13;3:51;21;54
147;Just Like Christmas;Low;26/10/2004;184;83;41;-7;45;3:07;16;17
148;In Dreams;Roy Orbison;1963;108;44;50;-10;71;2:49;67;6
149;The Everlasting Muse;Belle & Sebastian;19/1/2015;132;63;49;-6;75;5:25;8;40
150;Falling from Grace;The Gentle Waves;6/11/2000;140;49;51;-11;73;3:46;58;30
151;We Rule the School;Belle & Sebastian;1996;122;25;40;-15;25;3:27;70;33
152;Saint Simon;The Shins;21/10/2003;93;54;62;-6;43;4:25;12;45
153;Reasonable Man (I Don't Mind);The National;20/7/2004;147;14;38;-16;9;5:22;85;32
154;Canon in D;Johann Pachelbel;12/9/2014;96;24;14;-17;10;4:30;32;40
155;Torturous;Turnerjoy;29/8/2002;147;41;25;-7;9;4:45;7;29
156;I Meri;Pavlos Pavlidis;29/4/2013;144;48;58;-11;64;4:17;35;15
157;Dress Up In You;Belle & Sebastian;2006;108;40;67;-8;48;4:24;53;36
158;Archie, Marry Me;Alvvays;21/7/2014;117;83;27;-5;19;3:17;1;45
159;Apopse Thelo Parea;The Boy;8/12/2014;171;22;55;-11;32;3:22;70;2
160;Esthimaties;The Boy;8/12/2014;172;51;62;-10;54;3:37;4;0
161;Expectations;Belle & Sebastian;1996;119;38;51;-13;46;3:34;56;43
162;A Little Respect (Remastered 2009);Erasure;1988;114;78;61;-8;62;3:34;3;16
163;Koustoumaki;The Boy;6/5/2011;124;45;51;-7;12;10:54;15;1
164;Lost Property;The Divine Comedy;12/3/2001;144;65;36;-9;15;4:39;17;21
165;The Stars of Track & Field;Belle & Sebastian;18/11/1996;121;32;44;-14;37;4:49;22;35
166;Dog On Wheels;Belle & Sebastian;23/5/2005;90;47;55;-8;59;3:12;14;28
167;Nobody's Empire;Belle & Sebastian;19/1/2015;124;81;57;-7;45;5:10;2;50
168;Enter Sylvia Plath;Belle & Sebastian;19/1/2015;131;93;56;-6;57;6:49;1;39
169;Woke From Dreaming;The Delgados;2002;150;36;36;-10;15;4:32;88;19
170;Get Me Away from Here, I'm Dying;Belle & Sebastian;18/11/1996;80;62;54;-10;69;3:25;39;41
171;The End;Reckless;18/6/2010;126;64;72;-7;64;3:23;48;5
172;O Kathreftis;Fivos Delivorias;14/3/1984;116;58;62;-5;57;5:00;60;16
173;To Kalokeri Tha Erthi;Fivos Delivorias;22/3/2007;76;33;56;-11;43;4:34;97;10
174;The Crystal Lake;Grandaddy;1/1/2000;126;69;53;-7;18;5:00;0;32
175;The Way;Fastball;10/3/1998;121;93;66;-6;69;4:17;16;56
176;Jesus Wants Me For A Sunbeam;The Vaselines;5/5/2009;130;66;37;-7;48;3:30;79;35
177;No One Said This Would Be Easy;The Postmarks;25/8/2009;135;92;59;-6;54;3:34;0;20
178;You Must Be Out of Your Mind;The Magnetic Fields;2010;115;66;61;-4;47;3:12;56;38
179;The Boxer;Simon & Garfunkel;26/1/1970;93;49;44;-14;62;5:09;70;64
180;Chicago;Sufjan Stevens;5/7/2005;125;46;58;-10;43;6:05;59;59
181;I'm Waking Up to Us;Belle & Sebastian;23/5/2005;135;59;57;-6;64;3:50;49;24
182;Your Cover's Blown;Belle & Sebastian;21/6/2004;109;74;48;-6;39;6:02;7;32
183;These Days;Nico;1/1/1967;93;13;41;-18;20;3:31;99;53
184;Eida Tin Anna Kapote;Combo & Banta / Kouarteto Enchordon,Dionysis Savvopoulos,Fons Musicalis;16/5/2001;98;32;43;-13;18;3:41;72;5
185;Blueberry Boat;The Fiery Furnaces;6/9/2004;139;57;36;-7;16;9:09;45;16
186;Shuggie;Foxygen;22/1/2013;128;65;47;-8;71;3:22;10;50
187;There's Too Much Love;Belle & Sebastian;5/6/2000;144;55;57;-8;87;3:27;42;45
188;Fourth of July;Sufjan Stevens;31/3/2015;120;10;44;-22;15;4:39;97;56
189;The Boy In The Picture;The Seahorses;1/1/1997;90;56;44;-9;18;2:53;0;25
190;My Only Friend;The Magnetic Fields;1999;130;38;52;-12;38;2:01;97;19
191;The Dark Is Rising;Mercury Rev;9/11/2001;135;26;35;-10;15;4:52;89;37
192;Feel Like;Mikal Cronin;4/5/2015;137;71;25;-6;22;3:59;3;19
193;Dont Look At the Light;Michael Giacchino;25/2/2011;105;11;22;-20;4;3:33;85;0
